tick,v0,g0,v1,g1,v2,g2,v3,g3,spikes
125,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-78.15948421773558,-18.73142419267208,-46.22963571594320,44.27750394946595,0000
126,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-78.08188928847926,-17.99695454460167,-45.85519272078918,42.54135818667217,0000
127,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-77.99790281776194,-17.29128386335769,-45.50140893238741,40.87328767295084,0000
128,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-77.90786929219487,-16.61328292529905,-45.16741481864602,39.27062313960601,0000
129,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-77.81211875684714,-15.96186678427694,-52.00000000000000,0.00000000000000,0001
130,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-77.71096739080036,-15.33599303548954,-52.00000000000000,0.00000000000000,0000
131,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-77.60471806004315,-14.73466014741193,-52.00000000000000,0.00000000000000,0000
132,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-77.49366084859460,-14.15690585913200,-52.00000000000000,0.00000000000000,0000
133,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-77.37807356871163,-13.60180564052767,-52.00000000000000,0.00000000000000,0000
134,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-77.25822225100092,-13.06847121282149,-52.00000000000000,0.00000000000000,0000
135,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-77.13436161522455,-12.55604912714504,-52.00000000000000,0.00000000000000,0000
136,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-77.00673552255708,-12.06371939883870,-52.00000000000000,0.00000000000000,0000
137,-52.00000000000000,0.00000000000000,-52.00000000000000,0.00000000000000,-76.87557741002226,-11.59069419530123,-52.00000000000000,0.00000000000000,0000
